dataset_id,dataset_name,ref_name,data_category,source,source_url,processed_url,chemistry,form_factor,cells,cycles,size_mb,assigned_student,reviewed_by,status,metadata_done,timeseries_done,cycle_summary_done,dataset_note_done,qc_done,last_updated,count_basis,notes,stats_scope,cells_basis,cycles_basis,volume_basis,cells_group,cycles_group,volume_group
dataset_35,Zenodo ARC Calorimetry 21700,2023_Zenodo_NMC-NCA-LFP_21700_ARC_Calorimetry_MultiT,thermal_runaway,eet-china collection,https://zenodo.org/records/7707929,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgBB_0fSJ5MXSbhmHVeJK6LyAYVORNLdvhuyyXT_3CkhohU?e=ONxPU5,Multi,21700,55 specimens,0,0.22814,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 55 ARC test specimens (complete release); cycling does not apply. Volume: Complete official file manifest captured 2026-09-08; author release files only.,Auxiliary physical dataset: ARC exothermal; 21700; NMC/NCA/LFP; thermal safety,full_source,not_applicable,not_applicable,known,,,
dataset_36,Imperial College 21700 Cycle Aging,2024_Imperial_Kirkaldy_NMC_21700_MultiC_MultiT,cycle_aging,https://doi.org/10.5281/zenodo.10637534,https://doi.org/10.5281/zenodo.10637534,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgDFoGTyCAf7SokvWt55BZl9AXaoMW8HTT1L1p22T4Gc5zo?e=ReCV3T,NMC,21700,40,131301,49420.596739,Liu Kefan,,done,yes,yes,yes,yes,no,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 40 cells across the five experiments in experiment_metadata.xlsx (9 + 6 + 9 + 8 + 8); 131,301 aging cycles summed from the per-cell ""Summary per Cycle"" tables (complete 46 GB release held). Volume: Complete five author experiment ZIP archives; metadata workbook excluded.",LG M50T/GBM50T 21700; 3 temps; J. Power Sources 2024,full_source,known,known,known,,,
dataset_37,Munich Multistage Aging Samsung 21700,2024_TUM_Stroebl_NMC_21700_Multistage_25T,cycle_aging,https://doi.org/10.1038/s41597-024-03859-z,https://figshare.com/articles/dataset/Multi-Stage_Lithium_Ion_Battery_Aging_Study/25975315,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCKqhLB3FILTZSucxlDhPw2AYsFXXGONKTHfQT09Xa-15Y?e=hVhwOD,NMC,21700,279,0,10292.649424,Liu Kefan,,done,yes,yes,yes,yes,no,2026/9/8,Full-source metrics audit 2026-09-08. Complete-study cell count retained from author documentation. Earlier estimated cycle total removed pending a complete source-cycle audit. Volume: Complete Figshare version 1 official file list; original release files only.,279× Samsung INR21700-50E; 71 aging conditions; Scientific Data 2024,full_source,known,unknown,known,,,
dataset_38,ISU-ILCC Battery Aging,2023_ISU_ILCC_Thelen_NMC_Pouch_MultiC_30T,cycle_aging,https://zenodo.org/records/7271567,https://iastate.figshare.com/articles/dataset/_b_ISU-ILCC_Battery_Aging_Dataset_b_/22582234,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgAQsqg5Eb4SSZDw_owj_-m6AcXA90yjg98xig61jAwtCzk?e=Rld0C3,NMC,Pouch,251,1331994,11186.085527,Liu Kefan,,done,yes,yes,yes,yes,no,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 251 NMC/graphite 502030 pouch cells under 63 conditions per README_V2.0.pdf (complete 10.4 GB release held; the earlier LFP/cylindrical label was wrong); 1,331,994 partial-DoD cycles counted from the per-cell Cycling_json capacity records. Volume: Complete Figshare version 2 official file list; original release files only.",Iowa State Univ; 251 NMC/graphite 250 mAh pouch cells; 63 cycling conditions at 30C; C/5 and C/2 RPTs,full_source,known,known,known,,,
dataset_39,CQU Battery Aging,2023_CQU_NCA-LFP_Pouch-Prismatic_MultiC_MultiT,cycle_aging,https://data.mendeley.com/datasets/n3b54nsw8m/9,https://data.mendeley.com/datasets/n3b54nsw8m/9,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCKZCKUHq78SY57RhoFxXrtAaVz7wEc_OY1q007gmfSp_4?e=OIYo61,NCA-LFP,Pouch,47,104817,272.160209,,,done,yes,yes,yes,no,yes,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 47 cells across three MAT files covering four experiments (30 source cell names, namespaced per file); 104,817 cycle records. Volume: Complete three author MAT files covering experiments 1-4; not four physical files.",Diverse Pouch & Prismatic cells; Multi-temperature & dynamic loading profiles; complex cycle aging,full_source,known,known,known,,,
dataset_40,THI Experimental Calendar Ageing,2022_THI_Geisbauer_MultiChem_Calendar_3SOC_50-60T,calendar_aging,https://zenodo.org/records/6685365,https://zenodo.org/records/6685365,,NCA/NMC/LFP/LCO/LMO/LTO-LCO,Multi,108,0,0.079545,,,wip,yes,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. 108 distinct (chemistry, Cell Identity Number) keys across the six original CSV tables; alternate CSV/XLSX/TAB formats counted once. Calendar RPT observations are not aging cycles. Volume: Complete author Zenodo v3 ZIP (18 source files in three representations); counted once.","THI calendar capacity summaries; downloaded v3 tables contain SOC 20/50/100%, 50/60 C and 0-152 days. CSV/XLSX/TAB are alternative representations; no raw waveforms; not JRC.",full_source,known,not_applicable,known,,,
dataset_41,HUST Cycle Aging,2022_HUST_LFP_18650_MultiC_MultiC_30T,cycle_aging,https://data.mendeley.com/datasets/nsc7hnsg4s/2,https://data.mendeley.com/datasets/nsc7hnsg4s/2,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgBGu5W7qVaoQrqxK__aZVxJASOx3Dvpm_Asln6aoOF5-n8?e=tTppur,LFP,18650,77,146122,1188.136932,,,done,yes,yes,yes,no,yes,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 77 LFP/graphite cells per the Mendeley v2 description (complete release held); 146,122 per-cycle curve files. Volume: Complete author our_data.zip release; metadata documents excluded.",72 LFP/Graphite cells; Multi-stage fast charging profiles; early-life cycle aging,full_source,known,known,known,,,
dataset_eee,NTU Ampace-Samsung 21700,2026_NTU_Ampace-Samsung_LFP-NMC_21700_2C_2C_25T,cycle_aging,NTU EEE Internal OneDrive,,,Multi,21700,16,9095,251.65824,Liu Kefan,,done,yes,yes,yes,yes,no,2026/9/8,Full-source metrics audit 2026-09-08.  Volume: Internal complete-experiment catalog reports 240 MiB (converted to decimal MB); original precision retained as reported.,"NTU; Ampace 21700A + Samsung 35E; 16 cells; 9,095 cycles",full_source,known,known,legacy_reported,,,
dataset_internal_MSE,NTU Internal Battery Dataset,2026_NTU_Internal_LFP-NCA_MultiForm_MultiC_MultiT,cycle_aging,NTU MSE Internal OneDrive,,,Multi,Multi,,0,0,Cao Han,,done,yes,yes,yes,yes,no,2026/9/8,"Full-source metrics audit 2026-09-08.  Volume: Full original release volume is unknown; local subset, processed-copy and unverified legacy sizes are excluded.",NTU internal dataset; LFP/NCA cells; OneDrive shared internal access,full_source,unknown,unknown,unknown,,,
dataset_internal,BatteryLake Internal Experiment,TBD_NTU_Internal_LiIon_TBD_TBD_TBD,cycle_aging,internal,,,Unknown,—,,0,0,TBD,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08.  Volume: Full original release volume is unknown; local subset, processed-copy and unverified legacy sizes are excluded.",Internal experiment data; to be provided by supervisor,full_source,unknown,unknown,unknown,,,
